goos: darwin
goarch: arm64
pkg: github.com/jsmestad/minga/go/tui/internal/ui
cpu: Apple M1
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   2929375 ns/op	  923096 B/op	   28713 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   3260500 ns/op	  993656 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   3026208 ns/op	  993640 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   3034042 ns/op	  993656 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   2981041 ns/op	  923352 B/op	   28716 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   2994125 ns/op	  993656 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   2969541 ns/op	  993640 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_1000-8        	       1	   3382125 ns/op	  993640 B/op	   28721 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2949042 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2776125 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2724625 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2835000 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2819875 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2912166 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2994291 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2732000 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2835291 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2941000 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2857917 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2829625 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2827333 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   3133041 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2967750 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2820417 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2858584 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   3010458 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2833083 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2813666 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2864584 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2955666 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2816250 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2723459 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2844917 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2910083 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2812584 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2844167 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2828875 ns/op	  920752 B/op	   28709 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_10000-8       	       1	   2860042 ns/op	  920752 B/op	   28709 allocs/op
PASS
ok  	github.com/jsmestad/minga/go/tui/internal/ui	1.239s
